epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,5604.37,0.96625,1.53847,2.9837,0.66766,0.58171,0.64795,0.46766,1.0543,1.46564,3.11992,3.00696e-05,3.00696e-05,3.00696e-05
41,5751.08,0.79034,1.03348,2.61053,0.61628,0.58407,0.63498,0.45919,1.06571,1.50653,3.15372,2.7456e-05,2.7456e-05,2.7456e-05
42,5878.42,0.76159,0.94092,2.57559,0.65292,0.60319,0.65232,0.47373,1.04588,1.44607,3.11779,2.48424e-05,2.48424e-05,2.48424e-05
43,6002.81,0.7467,0.91445,2.53706,0.67262,0.60398,0.65602,0.47558,1.04735,1.45031,3.09709,2.22288e-05,2.22288e-05,2.22288e-05
44,6128.97,0.74262,0.87959,2.55084,0.67407,0.59272,0.65569,0.48006,1.03659,1.43707,3.10969,1.96152e-05,1.96152e-05,1.96152e-05
45,6254.5,0.73744,0.86558,2.54012,0.66709,0.59106,0.65135,0.48109,1.02304,1.43634,3.11172,1.70016e-05,1.70016e-05,1.70016e-05
46,6382.14,0.72108,0.83944,2.5114,0.69634,0.60391,0.66352,0.4892,1.0203,1.41966,3.10433,1.4388e-05,1.4388e-05,1.4388e-05
47,6507.55,0.71582,0.82573,2.50363,0.69477,0.60404,0.66816,0.49023,1.02797,1.41019,3.0931,1.17744e-05,1.17744e-05,1.17744e-05
48,6633.1,0.71326,0.80905,2.49464,0.64605,0.62359,0.66434,0.4887,1.02427,1.41478,3.09053,9.1608e-06,9.1608e-06,9.1608e-06
49,6759.13,0.70826,0.79527,2.47837,0.68162,0.60561,0.6708,0.49221,1.0192,1.41063,3.10241,6.5472e-06,6.5472e-06,6.5472e-06
50,6883.23,0.70193,0.78421,2.4839,0.68068,0.61202,0.67,0.49251,1.02405,1.39928,3.10274,3.9336e-06,3.9336e-06,3.9336e-06
